,county,state_y,median_family_income,1p0c,1p1c,1p2c,1p3c,1p4c,2p0c,2p1c,2p2c,2p3c,2p4c,median_family_cost,income_cost_diff,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
0,Abbeville,South Carolina,53251.19921875,33966.3252,45064.5552,53334.3924,66186.8964,70803.2928,44503.4292,56669.5248,63942.8376,75744.4044,81662.016,60306.1812,-3418.3255812499992,South Carolina,Abbeville,12433,0.3298479852006756,0.0018499155473337087,0.007077937746320277,0.00048258666452183704,0.6607415748411486,45001,South Carolina,SC
1,Acadia,Louisiana,58169.6953125,35492.0628,49840.8048,60090.7152,74923.0776,80939.226,48137.2824,63117.3336,72526.2192,85659.8964,92556.4512,67821.7764,-4947.638287499998,Louisiana,Acadia,28425,0.19148636763412488,0.0,0.008478452066842569,0.005101143359718558,0.794934036939314,22001,Louisiana,LA
2,Accomack,Virginia,59259.15625,33954.0264,50372.4252,60814.8396,73552.8924,79453.9224,47985.7524,62532.0876,72224.274,84484.1256,89865.75,67378.1808,-3272.931349999999,Virginia,Accomack,16962,0.4467633533781394,0.0,0.011083598632236765,0.0014149274849663955,0.5407381205046574,51001,Virginia,VA
3,Ada,Idaho,87161.1015625,37437.3636,56717.5548,73453.8048,93842.8884,99965.4732,51504.5328,70410.1812,85168.5648,103357.9332,109789.9572,79311.18479999999,16750.920362499994,Idaho,Ada,259389,0.46470359190250937,0.0,0.020471184205960932,0.010952661832228814,0.5038725620593009,16001,Idaho,ID
4,Adair,Iowa,75375.1953125,34986.6948,50947.1136,61499.226,75957.9144,81318.024,46770.5688,63822.5916,72735.1704,85458.7092,90920.0856,68278.881,11552.6037125,Iowa,Adair,4177,0.28680871438831695,0.0009576250897773521,0.008379219535551832,0.004309312903998085,0.6995451280823558,19001,Iowa,IA
5,Adair,Kentucky,48017.46484375,33498.246,47040.9312,57794.7768,70491.8964,74943.3276,44235.7704,58358.4552,68370.9732,79993.9044,85476.8496,63364.714199999995,-10340.990356249997,Kentucky,Adair,8763,0.15884970900376583,0.0,0.006846970215679562,0.003994065959146411,0.8303092548214082,21001,Kentucky,KY
6,Adair,Missouri,64729.05859375,32895.3276,46969.5792,58080.3108,72712.9632,78316.6404,46776.4836,60606.2868,71775.6684,84570.3984,90356.6832,66190.9776,4122.771793749998,Missouri,Adair,10336,0.3589396284829721,0.004160216718266254,0.015189628482972136,0.0012577399380804953,0.620452786377709,29001,Missouri,MO
7,Adair,Oklahoma,44935.9609375,36063.1992,50106.7848,64928.3148,79713.8208,85913.1096,48283.3476,62737.7052,76734.522,90873.3924,96456.6264,70831.4184,-17801.744262499997,Oklahoma,Adair,7108,0.19513224535734383,0.0,0.008722566122678672,0.010410804727068092,0.7857343837929094,40001,Oklahoma,OK
8,Adams,Colorado,82814.546875,44881.3716,72973.8756,89647.1832,113420.004,119219.016,58198.9044,84295.3128,99749.0268,121032.612,127217.532,94698.10500000001,-1480.7659249999997,Colorado,Adams,236740,0.5668750528005406,0.0031426881811269748,0.015759905381431107,0.010163048069612234,0.40405930556728903,08001,Colorado,CO
9,Adams,Idaho,58539.3515625,37745.3412,51138.0648,63747.1644,79721.256,85024.998,48742.6704,63108.4272,75814.8456,89191.3128,94656.2928,69781.005,-4569.075637499998,Idaho,Adams,2586,0.228538283062645,0.0,0.013147718484145398,0.007733952049497293,0.7505800464037123,16003,Idaho,ID
10,Adams,Illinois,70670.2734375,35013.0204,52138.248,64791.726,78943.5708,84766.9332,48842.2944,66449.4612,77809.476,90339.4392,96295.5876,72129.4686,4220.812237499995,Illinois,Adams,33527,0.25749396009186626,0.0030423240969964507,0.014406299400483193,0.0026545769081635696,0.7224028395024905,17001,Illinois,IL
11,Adams,Indiana,67369.03125,33523.9272,49048.2216,62209.524,77897.0796,82809.9672,45863.7096,61041.1344,74292.8028,87822.1464,92837.5728,68251.1634,6327.896849999997,Indiana,Adams,14209,0.22774297980153424,0.0,0.020198465761137308,0.0,0.7520585544373285,18001,Indiana,IN
12,Adams,Iowa,68836.3671875,35380.8012,51050.8356,61242.492,72325.014,77300.6952,46796.2788,63597.1284,72165.1584,81843.2232,86953.9044,67881.1434,5239.238787499999,Iowa,Adams,2160,0.27314814814814814,0.000462962962962963,0.0125,0.0032407407407407406,0.7106481481481481,19003,Iowa,IA
13,Adams,Mississippi,40565.7890625,34944.3492,44694.2964,52261.752,63234.252,68631.5388,48130.5588,57981.6912,64662.51,74835.3756,80569.7808,60607.971600000004,-17415.9021375,Mississippi,Adams,13759,0.5754051893306199,0.0007267970055963369,0.0034886256268624174,0.006395813649247765,0.4139835743876735,28001,Mississippi,MS
14,Adams,Nebraska,72584.28125,35767.1604,54127.9224,72667.26,90320.994,97526.976,52697.1036,69520.6236,86764.3536,102576.726,109956.7848,79715.80679999999,3063.6576499999937,Nebraska,Adams,14602,0.28852212025749896,0.0,0.02081906588138611,0.0,0.6906588138611149,31001,Nebraska,NE
15,Adams,North Dakota,88849.203125,35455.3944,50490.516,61691.022,75975.8904,81838.3068,46840.2072,62243.1156,72656.49,86311.0956,91573.1424,67449.8028,26606.087525000003,North Dakota,Adams,1269,0.2033096926713948,0.0,0.02364066193853428,0.0,0.7730496453900709,38001,North Dakota,ND
16,Adams,Ohio,50041.33984375,32523.6156,46810.6992,57134.4492,68831.3148,72559.6584,43369.0368,57127.6932,67524.774,77589.3864,81629.9124,62329.611600000004,-7086.3533562500015,Ohio,Adams,12145,0.17752161383285303,0.0,0.007575133799917662,0.0022231370934540965,0.8126801152737753,39001,Ohio,OH
17,Adams,Pennsylvania,83362.875,39269.1744,62398.8756,81178.6752,100339.77,107182.9572,55287.6972,76214.8884,93122.5896,110454.2928,118429.476,87150.6324,7147.986600000004,Pennsylvania,Adams,56540,0.32201980898478955,0.0,0.014326140785284755,0.0,0.6636540502299257,42001,Pennsylvania,PA
18,Adams,Washington,57949.953125,35251.8372,49652.3844,60683.1624,74360.7252,78927.0816,47352.2316,60947.5488,72010.74,83782.6992,88574.226,66479.1444,-2997.595674999997,Washington,Adams,5862,0.3094506994199932,0.0030706243602865915,0.013988399863527807,0.0069941999317639034,0.6664960764244285,53001,Washington,WA
19,Adams,Wisconsin,59595.95703125,33912.7644,52734.2232,67260.9492,80682.7848,85904.9244,45252.12,64192.728,77079.6096,88846.242,94154.4372,72170.2794,-4596.770968750003,Wisconsin,Adams,11818,0.36630563547131495,8.461668641056016e-05,0.007192418344897614,0.003469284142832967,0.622948045354544,55001,Wisconsin,WI
20,Addison,Vermont,86721.6171875,43172.0688,69413.1792,81316.8108,95123.4552,99406.3476,61120.7928,84262.992,94350.1116,106429.3716,112173.4224,89306.5518,2458.6251875000016,Vermont,Addison,22611,0.6673300605899783,0.0030516120472336475,0.010968112865419486,0.02821635487152271,0.29043385962584584,50001,Vermont,VT
21,Aiken,South Carolina,64666.42578125,34063.2072,47018.4876,56430.7152,68863.8168,73195.4064,45622.7016,58989.7968,66924.234,78241.8984,82905.8496,62957.0154,5676.628981250004,South Carolina,Aiken,85185,0.37888125843751835,0.0032165287315841992,0.011527851147502495,0.0007630451370546458,0.6056113165463404,45003,South Carolina,SC
22,Aitkin,Minnesota,62395.0859375,33545.2056,48783.9876,60117.8496,73919.238,79087.2192,44264.9616,60765.504,70676.742,82830.6264,88176.5268,65721.12299999999,1629.5819374999992,Minnesota,Aitkin,10025,0.3598004987531172,0.002394014962593516,0.005486284289276808,0.008079800498753117,0.6242394014962593,27001,Minnesota,MN
23,Alachua,Florida,77956.6328125,38149.644,55814.4672,68174.0268,83964.0,90240.996,52391.1624,69644.5248,80490.768,94594.9512,101047.1016,75067.6464,8312.1080125,Florida,Alachua,142604,0.629042663599899,0.002117752657709461,0.009747272166278645,0.0016549325404616982,0.35743737903565115,12001,Florida,FL
24,Alamance,North Carolina,66801.1953125,35014.5732,53339.1096,64515.0468,77623.6524,83404.3356,46630.5996,64941.8904,75362.736,87655.5756,92755.9104,70152.3132,1859.3049125000034,North Carolina,Alamance,86091,0.4509762925276742,0.0025902823756257915,0.007968312599458712,0.0034963004262931084,0.5349688120709482,37001,North Carolina,NC
25,Alameda,California,122820.71875,57829.0836,93750.2808,111716.754,141942.936,149786.916,76836.1116,107588.1216,123239.1,152760.756,161340.132,117477.927,15232.597150000001,California,Alameda,770070,0.8020816289428234,0.006056592257846689,0.00817458153154908,0.006678613632526914,0.17700858363525393,06001,California,CA
26,Alamosa,Colorado,49323.58984375,36017.0064,52213.9332,63747.5508,76868.9184,81921.1524,47088.99,64807.2132,74933.8188,86408.982,91688.2212,69870.516,-15483.623356249998,Colorado,Alamosa,7808,0.48142930327868855,0.002945696721311475,0.011526639344262296,0.0157530737704918,0.4883452868852459,08003,Colorado,CO
