,"('total_cost', '1p0c')","('total_cost', '1p1c')","('total_cost', '1p2c')","('total_cost', '1p3c')","('total_cost', '1p4c')","('total_cost', '2p0c')","('total_cost', '2p1c')","('total_cost', '2p2c')","('total_cost', '2p3c')","('total_cost', '2p4c')",county_name,noHS,HS,someCol,Col
0,33966.3252,45064.5552,53334.3924,66186.8964,70803.2928,44503.4292,56669.5248,63942.8376,75744.4044,81662.016,Abbeville ,16.29292221443588,36.9715019855174,28.50969399672973,18.22588180331698
1,35492.0628,49840.8048,60090.7152,74923.0776,80939.226,48137.2824,63117.3336,72526.2192,85659.8964,92556.4512,Acadia Parish,19.69515059769275,42.94513754763272,23.74588923109046,13.61382262358407
2,33954.0264,50372.4252,60814.8396,73552.8924,79453.9224,47985.7524,62532.0876,72224.274,84484.1256,89865.75,Accomack ,17.72385005729252,34.72335897855623,26.54689801931576,21.00589294483549
3,37437.3636,56717.5548,73453.8048,93842.8884,99965.4732,51504.5328,70410.1812,85168.5648,103357.9332,109789.9572,Ada ,4.97022342262778,20.84995569051717,33.44110770682548,40.73871318002958
4,34360.8669,48766.1022,60575.6571,74719.14869999999,80122.7754,46516.5426,61381.259699999995,72404.0835,85224.1011,90802.5612,Adair ,5.303030303030303,40.35984848484848,34.88636363636364,19.45075757575758
5,34360.8669,48766.1022,60575.6571,74719.14869999999,80122.7754,46516.5426,61381.259699999995,72404.0835,85224.1011,90802.5612,Adair ,14.81422673864719,39.39345824071134,26.84979358526516,18.94252143537631
6,34360.8669,48766.1022,60575.6571,74719.14869999999,80122.7754,46516.5426,61381.259699999995,72404.0835,85224.1011,90802.5612,Adair ,8.099620216184633,33.66929593923459,25.24832018697049,32.98276365761028
7,34360.8669,48766.1022,60575.6571,74719.14869999999,80122.7754,46516.5426,61381.259699999995,72404.0835,85224.1011,90802.5612,Adair ,19.02097902097902,46.82983682983683,23.55866355866356,10.59052059052059
8,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,15.1358077126697,28.29813389644456,30.13731818276987,26.42874020811586
9,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,7.499270498978698,37.35045229063321,36.65013131018384,18.50014590020426
10,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,7.557305032403984,34.92236092383976,31.83637075377321,25.68396328998304
11,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,13.74349843025163,44.30907642565953,27.52448338878215,14.42294175530669
12,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,5.470213563132259,35.96852753840389,36.2682652678906,22.29299363057325
13,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,20.3234578502934,33.81995133819951,27.92805686751586,17.92853394399122
14,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,8.427821135817013,27.15849408530899,38.56574878515682,25.84793599371718
15,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,7.283090563647879,37.42875237492084,36.16212792906903,19.12602913236226
16,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,16.32783395423098,42.22458754656732,25.49228312932411,15.95529536987759
17,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,10.23809198573907,39.82815850943216,25.93741035693308,23.99633914789569
18,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,31.50907613112978,30.67822631626479,24.09464463108462,13.71805292152082
19,36139.0631,53104.846900000004,66209.6133,81337.72129999999,86807.7544,48947.734399999994,65559.9794,77804.3647,91218.71259999998,96904.0541,Adams ,12.14424714181464,41.24908781318414,31.55558258331306,15.05108246168815
20,43172.0688,69413.1792,81316.8108,95123.4552,99406.3476,61120.7928,84262.992,94350.1116,106429.3716,112173.4224,Addison ,5.676133302547526,29.26575848533826,22.80073885938582,42.25736935272839
21,34063.2072,47018.4876,56430.7152,68863.8168,73195.4064,45622.7016,58989.7968,66924.234,78241.8984,82905.8496,Aiken ,10.70765700401579,31.61677859143522,28.87405932575169,28.80150507879728
22,33545.2056,48783.9876,60117.8496,73919.238,79087.2192,44264.9616,60765.504,70676.742,82830.6264,88176.5268,Aitkin ,8.156753661130656,37.65033134255093,36.9549210504786,17.23799394583981
23,38149.644,55814.4672,68174.0268,83964.0,90240.996,52391.1624,69644.5248,80490.768,94594.9512,101047.1016,Alachua ,6.820671055575839,20.32598838784139,27.67662611440214,45.17671444218064
24,35014.5732,53339.1096,64515.0468,77623.6524,83404.3356,46630.5996,64941.8904,75362.736,87655.5756,92755.9104,Alamance ,12.28700499299923,28.60187215456282,32.76358544897366,26.34753740346428
