,county,state_y,median_family_income,1p0c,1p1c,1p2c,1p3c,1p4c,2p0c,2p1c,2p2c,2p3c,2p4c,median_family_cost,income_cost_diff,state,county_name,totalvotes,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,county_fips,State,Abv
0,Abbeville,South Carolina,53251.19921875,6144.0,8148.0,8148.0,11664.0,11664.0,6180.0,8148.0,8148.0,11664.0,11664.0,8148.0,45103.19921875,South Carolina,Abbeville,12433,0.3298479852006756,0.0018499155473337087,0.007077937746320277,0.00048258666452183704,0.6607415748411486,45001,South Carolina,SC
1,Acadia,Louisiana,58169.6953125,6552.0,8700.0,8700.0,12396.0,12396.0,6600.0,8700.0,8700.0,12396.0,12396.0,8700.0,49469.6953125,Louisiana,Acadia,28425,0.19148636763412488,0.0,0.008478452066842569,0.005101143359718558,0.794934036939314,22001,Louisiana,LA
2,Accomack,Virginia,59259.15625,5772.0,8556.0,8556.0,11364.0,11364.0,7224.0,8556.0,8556.0,11364.0,11364.0,8556.0,50703.15625,Virginia,Accomack,16962,0.4467633533781394,0.0,0.011083598632236765,0.0014149274849663955,0.5407381205046574,51001,Virginia,VA
3,Ada,Idaho,87161.1015625,8532.69804,12517.956,12517.956,17740.0164,17740.0164,10006.8684,12517.956,12517.956,17740.0164,17740.0164,12517.956,74643.1455625,Idaho,Ada,259389,0.46470359190250937,0.0,0.020471184205960932,0.010952661832228814,0.5038725620593009,16001,Idaho,ID
4,Adair,Iowa,75375.1953125,6228.0,8580.0,8580.0,12276.0,12276.0,6516.0,8580.0,8580.0,12276.0,12276.0,8580.0,66795.1953125,Iowa,Adair,4177,0.28680871438831695,0.0009576250897773521,0.008379219535551832,0.004309312903998085,0.6995451280823558,19001,Iowa,IA
5,Adair,Kentucky,48017.46484375,6000.0,7956.0,7956.0,11100.0,11100.0,6036.0,7956.0,7956.0,11100.0,11100.0,7956.0,40061.46484375,Kentucky,Adair,8763,0.15884970900376583,0.0,0.006846970215679562,0.003994065959146411,0.8303092548214082,21001,Kentucky,KY
6,Adair,Missouri,64729.05859375,5244.0,7944.0,7944.0,11256.0,11256.0,6024.0,7944.0,7944.0,11256.0,11256.0,7944.0,56785.05859375,Missouri,Adair,10336,0.3589396284829721,0.004160216718266254,0.015189628482972136,0.0012577399380804953,0.620452786377709,29001,Missouri,MO
7,Adair,Oklahoma,44935.9609375,6648.0,8736.0,8736.0,11808.0,11808.0,6984.0,8736.0,8736.0,11808.0,11808.0,8736.0,36199.9609375,Oklahoma,Adair,7108,0.19513224535734383,0.0,0.008722566122678672,0.010410804727068092,0.7857343837929094,40001,Oklahoma,OK
8,Adams,Colorado,82814.546875,13817.8932,18810.618,18810.618,25619.9448,25619.9448,15282.8952,18810.618,18810.618,25619.9448,25619.9448,18810.618,64003.928875,Colorado,Adams,236740,0.5668750528005406,0.0031426881811269748,0.015759905381431107,0.010163048069612234,0.40405930556728903,08001,Colorado,CO
9,Adams,Idaho,58539.3515625,6684.0,8808.0,8808.0,12348.0,12348.0,6864.0,8808.0,8808.0,12348.0,12348.0,8808.0,49731.3515625,Idaho,Adams,2586,0.228538283062645,0.0,0.013147718484145398,0.007733952049497293,0.7505800464037123,16003,Idaho,ID
